Subject,No,Question,Option A,Option B,Option C,Option D,Correct Answer (Full Text)
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"Out of the following, which is NOT an accumulated profit?",General Reserve,Workmen Compensation Reserve,Profit & Loss A/c (Credit Balance),Profit & Loss A/c (Debit Balance),Profit & Loss A/c (Debit Balance)
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"When expenses on revaluation are paid by the firm, which account is debited?",Cash/Bank A/c,Revaluation A/c,Old Partners' Capital A/c,New Partner's Capital A/c,Revaluation A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"After transferring profit or loss on revaluation to old partners' capital accounts, the balance of Revaluation Account becomes:",Zero (Nil),Debit balance,Credit balance,Equal to capital,Zero (Nil)
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,Decrease in the value of an asset is a ________ for the firm.,Profit,Loss,Liability,Reserve,Loss
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,Increase in the value of a liability is a ________ for the firm.,Profit,Loss,Asset,Reserve,Loss
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"When an unrecorded asset is taken over by an old partner, his capital account is:",Credited,Debited,Not affected,Ignored,Debited
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"When an unrecorded liability is paid off immediately at the time of admission, the account credited is:",Revaluation A/c,Cash/Bank A/c,Liability A/c,Capital A/c,Cash/Bank A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,Which of the following accounts is opened when goodwill is raised at its full value?,Premium for Goodwill A/c,Goodwill A/c,Revaluation A/c,Suspense A/c,Goodwill A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"If the old ratio is equal and the new partner is admitted for 1/4th share, the sacrificing ratio of old partners will be:",1:02,2:01,1:1 (Equal),3:01,1:1 (Equal)
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,Accumulated losses are transferred to Old Partners' Capital Accounts on the:,Credit side,Debit side,Asset side,Liability side,Debit side
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"If the new partner brings cash for capital, it will ________ the total capital of the new firm.",Decrease,Increase,Not affect,Reduce to zero,Increase
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,The capital balances of old partners may be adjusted on the basis of the new partner's capital. The difference is usually transferred to:,Cash/Bank A/c or Current A/c,Revaluation A/c,Goodwill A/c,Suspense A/c,Cash/Bank A/c or Current A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"If old partners decide not to alter the book values of assets and liabilities, they prepare a:",Revaluation Account,Memorandum Revaluation Account,Realisation Account,Trading Account,Memorandum Revaluation Account
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,The main purpose of admitting a new partner is:,To increase liabilities,To dissolve the firm,To get additional capital and managerial skill,To reduce the number of members,To get additional capital and managerial skill
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,The Revaluation Account is prepared at the time of:,Admission of a partner,Retirement of a partner,Death of a partner,All of the above,All of the above
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,The balance of Cash/Bank Account in the new Balance Sheet is calculated as:,Opening Balance + Capital brought in + Goodwill brought in,Opening Balance - Capital brought in,Only Capital brought in,Only Opening Balance,Opening Balance + Capital brought in + Goodwill brought in
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,An unrecorded liability for workmen compensation discovered at the time of admission is:,Debited to Revaluation A/c,Credited to Revaluation A/c,Credited to Capital A/c,Ignored,Debited to Revaluation A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"A debtor whose dues were previously written off as bad debts, pays ?5,000 at the time of admission. It is:",Debited to Revaluation A/c,Credited to Revaluation A/c,Deducted from Debtors,Ignored,Credited to Revaluation A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,"Under the fluctuating capital method, all adjustments related to admission are made in:",Partners' Current A/c,Partners' Capital A/c,Revaluation A/c,Cash A/c,Partners' Capital A/c
BK,Chapter 3 : Reconstitution of Partnership (Admission of Partner) ,The final balance of the partners' capital accounts after all admission adjustments represents:,The amount payable to creditors,The closing capital of the reconstituted firm,The loss of the firm,The value of goodwill,The closing capital of the reconstituted firm
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The ratio in which the continuing partners acquire the retiring partner's share is called:,Sacrificing Ratio,Gaining Ratio,New Ratio,Old Ratio,Gaining Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),What is the formula to calculate Gaining Ratio?,Old Ratio - New Ratio,New Ratio - Old Ratio,Old Ratio + New Ratio,Sacrificing Ratio - Old Ratio,New Ratio - Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Gaining ratio is primarily used to distribute the retiring partner's share of:,General Reserve,Accumulated Profit,Goodwill,Revaluation Loss,Goodwill
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Revaluation Account is also known as:,Profit & Loss Appropriation A/c,Profit & Loss Adjustment A/c,Realisation A/c,Partners' Current A/c,Profit & Loss Adjustment A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Profit or Loss on Revaluation Account at the time of retirement is shared by:,Only Continuing Partners,Only Retiring Partner,All Partners (including retiring),None of the above,All Partners (including retiring)
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The balance of Revaluation Account at the time of retirement is transferred to Partners' Capital Accounts in their:,Gaining Ratio,New Ratio,Capital Ratio,Old Profit Sharing Ratio,Old Profit Sharing Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If goodwill is raised to the extent of the retiring partner's share only, the account debited is:",Retiring Partner's Capital A/c,Goodwill A/c,Continuing Partners' Capital A/c,Revaluation A/c,Goodwill A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"When goodwill is raised to the extent of retiring partner's share, it is credited to:",All Partners' Capital A/c,Continuing Partners' Capital A/c,Retiring Partner's Capital A/c,Revaluation A/c,Retiring Partner's Capital A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If goodwill of the entire firm is raised, it is credited to all partners in their:",New Ratio,Gaining Ratio,Old Ratio,Capital Ratio,Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"When raised goodwill is written off after retirement, the accounts debited are:",All Partners' Capital A/c,Continuing Partners' Capital A/c,Retiring Partner's Capital A/c,Revaluation A/c,Continuing Partners' Capital A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Goodwill written off by continuing partners is distributed in their:,Old Ratio,Gaining Ratio,New Ratio,Sacrificing Ratio,New Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The accumulated profits (like General Reserve) appearing in the Balance Sheet at the time of retirement are credited to:,All Partners' Capital Accounts,Only Continuing Partners' Capital Accounts,Only Retiring Partner's Capital Account,Revaluation Account,All Partners' Capital Accounts
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"Accumulated losses (e.g., P&L A/c debit balance) are debited to all partners in their:",New Ratio,Gaining Ratio,Old Ratio,Capital Ratio,Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"The amount due to the retiring partner, if not paid immediately in cash, is transferred to his:",Capital Account,Current Account,Loan Account,Suspense Account,Loan Account
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Retiring Partner's Loan Account is shown on the ________ side of the new Balance Sheet.,Assets,Liabilities,Debit side of P&L,Credit side of P&L,Liabilities
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the partnership deed is silent, interest payable on the retiring partner's loan is:",5% p.a.,6% p.a.,10% p.a.,12% p.a.,6% p.a.
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Interest due on Retiring Partner's Loan is credited to:,Profit & Loss A/c,Retiring Partner's Loan A/c,Continuing Partners' Capital A/c,Cash A/c,Retiring Partner's Loan A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Decrease in the value of liabilities at the time of retirement is recorded on the ________ side of Revaluation A/c.,Debit,Credit,Asset,Liability,Credit
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Increase in the value of assets at the time of retirement is recorded on the ________ side of Revaluation A/c.,Debit,Credit,Asset,Liability,Credit
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Unrecorded liabilities discovered at the time of retirement are debited to:,Capital A/c,Revaluation A/c,Cash A/c,Liabilities A/c,Revaluation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"When a retiring partner is paid his dues in full by cash, the entry is:",Cash A/c Dr. to Retiring Partner's Capital A/c,Retiring Partner's Capital A/c Dr. to Cash/Bank A/c,Revaluation A/c Dr. to Cash A/c,Retiring Partner's Loan A/c Dr. to Cash A/c,Retiring Partner's Capital A/c Dr. to Cash/Bank A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),A partner may retire from the firm:,With the consent of all other partners,By giving notice in writing (if it is partnership at will),In accordance with an express agreement,All of the above,All of the above
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If A, B, and C are partners sharing profits in the ratio 3:2:1 and B retires, the new ratio of A and C will generally be:",3:01,1:01,2:01,3:02,3:01
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Total amount payable to a retiring partner is ascertained by preparing his:,Current Account,Capital Account,Loan Account,Revaluation Account,Capital Account
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Provision for Doubtful Debts (RDD) no longer required is a/an ________ for the firm.,Loss,Gain,Expense,Asset,Gain
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),An unrecorded asset brought into books at the time of retirement is:,Debited to Revaluation A/c,Credited to Revaluation A/c,Debited to Capital A/c,Credited to Capital A/c,Credited to Revaluation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The retiring partner has a right to claim a share in the profits of the firm until:,The end of the financial year,The date of his retirement,The realization of assets,The payment of his final dues,The date of his retirement
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If joint life policy is surrendered on retirement, the surrender value is distributed among all partners in their:",Old Ratio,New Ratio,Gaining Ratio,Capital Ratio,Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Retiring partner's share in the accumulated profits is transferred to his capital account on the ________ side.,Debit,Credit,Asset,Liability,Credit
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Share of goodwill of the retiring partner is debited to continuing partners in their:,Old Ratio,New Ratio,Gaining Ratio,Equal Ratio,Gaining Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the continuing partners decide to maintain the total capital of the new firm at a fixed amount, the adjustment is usually made in:",Cash/Bank A/c or Current A/c,Goodwill A/c,Revaluation A/c,Suspense A/c,Cash/Bank A/c or Current A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"When the amount due to a retiring partner is transferred to his Loan Account, the entry is:",Retiring Partner's Capital A/c Dr. to Cash A/c,Retiring Partner's Capital A/c Dr. to Retiring Partner's Loan A/c,Retiring Partner's Loan A/c Dr. to Retiring Partner's Capital A/c,Revaluation A/c Dr. to Retiring Partner's Loan A/c,Retiring Partner's Capital A/c Dr. to Retiring Partner's Loan A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),A retiring partner is liable for the debts incurred by the firm ________ his retirement.,Before,After,Both before and after,Neither before nor after,Before
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"To avoid liability to third parties for acts of the firm after his retirement, a retiring partner must give:",Personal notice to all partners,Public notice,Notice to the court,Notice to the bank,Public notice
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"Out of the following, which account is NOT prepared at the time of retirement of a partner?",Revaluation A/c,Partners' Capital A/c,Realisation A/c,Balance Sheet,Realisation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Increase in the value of stock is ________ to Revaluation A/c.,Debited,Credited,Ignored,Added,Credited
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Decrease in the value of machinery is ________ to Revaluation A/c.,Debited,Credited,Ignored,Deducted,Debited
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Gaining Ratio = ?,Old Ratio - New Ratio,New Ratio - Old Ratio,Old Ratio / New Ratio,New Ratio / Old Ratio,New Ratio - Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the old ratio is 5:3:2 and the partner with the '3' share retires, the new ratio of the remaining partners (if not given) is assumed to be:",5:03,3:02,5:02,1:01,5:02
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Which AS (Accounting Standard) governs the treatment of Goodwill in India?,AS 10,AS 26,AS 15,AS 3,AS 26
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"In case of retirement, Revaluation Account is closed by transferring the balance to:",All Partners' Capital Accounts,Continuing Partners' Capital Accounts,Retiring Partner's Capital Account,Cash Account,All Partners' Capital Accounts
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Contingency Reserve appearing in the Balance Sheet is distributed among all partners in:,New Ratio,Gaining Ratio,Old Ratio,Capital Ratio,Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The payment made to a retiring partner in excess of his capital and his share in accumulated profits/reserves is his share of:,Revaluation Profit,Unrecorded Assets,Hidden Goodwill,Future Profits,Hidden Goodwill
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Employees' Provident Fund appearing in the old Balance Sheet is:,Distributed among all partners,Distributed among continuing partners,Shown as a liability in the new Balance Sheet,Transferred to Revaluation A/c,Shown as a liability in the new Balance Sheet
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the continuing partners decide not to show Goodwill in the new Balance Sheet, raised goodwill must be:",Written off in Old Ratio,Written off in New Ratio,Written off in Gaining Ratio,Carried forward to P&L A/c,Written off in New Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Investment Fluctuation Fund is created out of profits to meet:,Fall in the market value of investments,Increase in the market value of investments,Loss on sale of fixed assets,Bad debts,Fall in the market value of investments
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the retiring partner is paid partly in cash and partly by transferring to loan account, the entry is:","Capital A/c Dr. to Cash A/c, to Loan A/c","Cash A/c Dr., Loan A/c Dr. to Capital A/c",Revaluation A/c Dr. to Capital A/c,Capital A/c Dr. to Revaluation A/c,"Capital A/c Dr. to Cash A/c, to Loan A/c"
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The amount payable to the retiring partner is paid either in lump sum or in:,Installments with interest,Shares of other companies,Only when assets are sold,None of the above,Installments with interest
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Which of the following is credited to the Retiring Partner's Capital Account?,Share in Revaluation Loss,Share in Accumulated Loss,Share in Revaluation Profit,His drawings,Share in Revaluation Profit
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Death of a partner is practically similar to ________ of a partner from an accounting point of view.,Admission,Retirement,Insolvency,Dissolution,Retirement
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"When a partner retires, his share in the firm is acquired by the remaining partners. This increases their:",Capital,Sacrificing Ratio,Profit share,Liabilities,Profit share
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the continuing partners take over the retiring partner's share equally, their gaining ratio is:",2:01,1:01,3:02,1:02,1:01
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The journal entry for transferring the debit balance of Profit & Loss A/c to the retiring partner is:,P&L A/c Dr. to Retiring Partner's Capital A/c,Retiring Partner's Capital A/c Dr. to P&L A/c,Revaluation A/c Dr. to P&L A/c,Retiring Partner's Capital A/c Dr. to Cash A/c,Retiring Partner's Capital A/c Dr. to P&L A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If Goodwill is already appearing in the old Balance Sheet, it is written off by debiting:",All partners' capital A/c in old ratio,Continuing partners' capital A/c in new ratio,Retiring partner's capital A/c,Revaluation A/c,All partners' capital A/c in old ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The claim of the retiring partner is payable in:,Cash only,Loan only,Shares of a company,"Cash, Loan, or partly cash and partly loan","Cash, Loan, or partly cash and partly loan"
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The balance of the Revaluation Account on retirement is transferred to the Capital Accounts of all partners in their:,Gaining Ratio,New Profit Sharing Ratio,Old Profit Sharing Ratio,Equal Ratio,Old Profit Sharing Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"Workmen Compensation Fund appearing in the balance sheet, if there is no claim against it, is transferred to:",Continuing Partners' Capital A/c,Retiring Partner's Capital A/c,All Partners' Capital A/c,Revaluation A/c,All Partners' Capital A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"In case of retirement, the profit or loss on revaluation is borne by:",Only the continuing partners,Only the retiring partner,All the partners,New partners,All the partners
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"On retirement of a partner, the capital accounts of the remaining partners are often adjusted in their:",Old Profit Sharing Ratio,New Profit Sharing Ratio,Gaining Ratio,Sacrificing Ratio,New Profit Sharing Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the retiring partner is paid his dues immediately in cash, the journal entry is:",Retiring Partner's Capital A/c Dr. To Cash/Bank A/c,Cash/Bank A/c Dr. To Retiring Partner's Capital A/c,Revaluation A/c Dr. To Cash/Bank A/c,Cash/Bank A/c Dr. To Revaluation A/c,Retiring Partner's Capital A/c Dr. To Cash/Bank A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If a firm pays cash in excess of the actual capital balance of the retiring partner, the excess amount is treated as his share of:",Revaluation Profit,Hidden Goodwill,Accumulated Reserve,Current Year's Profit,Hidden Goodwill
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The liability of a retiring partner for acts of the firm continues until:,The end of the accounting year,The final settlement of his loan,Public notice of his retirement is given,He joins another firm,Public notice of his retirement is given
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Revaluation Account is a:,Real Account,Personal Account,Nominal Account,Suspense Account,Nominal Account
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Decrease in the value of furniture is debited to:,Furniture A/c,Revaluation A/c,Capital A/c,Cash A/c,Revaluation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Increase in the value of land and building is credited to:,Land and Building A/c,Capital A/c,Revaluation A/c,General Reserve A/c,Revaluation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),An unrecorded asset taken over by a continuing partner is debited to:,Revaluation A/c,His Capital Account,Asset A/c,Cash A/c,His Capital Account
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Any unrecorded liability paid at the time of retirement is debited to:,Liability A/c,Revaluation A/c,Capital A/c,Cash A/c,Revaluation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"When the new ratio is not given, the remaining partners are assumed to share future profits in:",Equal Ratio,Their Old Ratio,Gaining Ratio,Capital Ratio,Their Old Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The final amount due to the retiring partner is ascertained by preparing his:,Cash Account,Current Account,Partners' Capital Account,Revaluation Account,Partners' Capital Account
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),A retiring partner is entitled to his share in the general reserve up to the date of:,End of the financial year,Start of the financial year,Retirement,Realisation of all assets,Retirement
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"For creating a provision for doubtful debts (RDD), the Revaluation A/c is:",Credited,Debited,Ignored,Balanced,Debited
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If a retiring partner's loan is to be paid in equal annual installments with interest, interest is calculated on:",The original loan amount every year,The outstanding balance of the loan,The total capital of the firm,His share of goodwill,The outstanding balance of the loan
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Gaining ratio is primarily calculated at the time of:,Admission of a partner,Dissolution of the firm,Retirement or Death of a partner,Formation of partnership,Retirement or Death of a partner
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Share of goodwill of the retiring partner is borne by continuing partners in their:,Old Ratio,New Ratio,Gaining Ratio,Sacrificing Ratio,Gaining Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"In Revaluation Account, excess of revised asset value over book value is:",Loss,Profit,Liability,Expense,Profit
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Which of the following is credited to Revaluation A/c?,Unrecorded Liability,Decrease in Asset,Unrecorded Asset,Increase in Liability,Unrecorded Asset
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Which of the following is debited to Revaluation A/c?,Unrecorded Asset,Increase in Asset,Decrease in Liability,Unrecorded Liability,Unrecorded Liability
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Retained earnings are distributed among all partners in:,New ratio,Old ratio,Gaining ratio,Sacrificing ratio,Old ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"At the time of retirement, the Joint Life Policy (JLP) is generally valued at:",Maturity Value,Surrender Value,Face Value,Premium Value,Surrender Value
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The share of the retiring partner in the JLP surrender value is credited to:,Revaluation A/c,Cash A/c,His Capital A/c,Goodwill A/c,His Capital A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If assets are brought down to their true values without altering book values in the new Balance Sheet, the account prepared is:",Profit & Loss A/c,Memorandum Revaluation A/c,Realisation A/c,Suspense A/c,Memorandum Revaluation A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Share of retiring partner in Revaluation Profit is:,Debited to his Capital A/c,Credited to his Capital A/c,Transferred to Loan A/c directly,Credited to Continuing Partners,Credited to his Capital A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the continuing partners decide to retain the raised goodwill in the books, it will appear in the New Balance Sheet at:",Written down value,Raised value,Zero value,Depreciated value,Raised value
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If continuing partners decide not to show goodwill in the books, they write off the goodwill in their:",Old Ratio,Gaining Ratio,New Ratio,Capital Ratio,New Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),A decrease in Creditors is a:,Gain (Profit),Loss,Asset,Expense,Gain (Profit)
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"To record the retirement goodwill adjustment without opening Goodwill Account, continuing partners' capital accounts are debited in:",Old Ratio,New Ratio,Gaining Ratio,Equal Ratio,Gaining Ratio
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The purpose of Revaluation Account is to ascertain:,Cash balance of the firm,Profit or loss on revaluation of assets and liabilities,Amount payable to retiring partner,Total capital of the new firm,Profit or loss on revaluation of assets and liabilities
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Outstanding salary given in adjustments is a:,Capital Receipt,Revenue Receipt,Liability,Asset,Liability
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Prepaid Insurance given in adjustments is an:,Expense,Liability,Asset,Income,Asset
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If the old ratio of A, B, and C is 3:2:1 and B retires, the new ratio of A and C is assumed to be:",2:01,3:01,1:01,3:02,3:01
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"In absence of an agreement, a retiring partner's share in the firm's profit till the date of settlement is governed by Section:",32 of Indian Partnership Act,37 of Indian Partnership Act,40 of Indian Partnership Act,12 of Indian Partnership Act,37 of Indian Partnership Act
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),A partner retiring by giving written notice is applicable in the case of:,Partnership at will,Particular partnership,Limited liability partnership,Fixed period partnership,Partnership at will
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"On retirement, the balance of the retiring partner's Current Account is transferred to his:",Loan Account,Cash Account,Capital Account,Revaluation Account,Capital Account
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Interest on loan of a retiring partner is treated as a:,Distribution of profit,Charge against profit (Expense),Asset,Income,Charge against profit (Expense)
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"To record the decrease in the value of an asset, the journal entry is:",Asset A/c Dr. To Revaluation A/c,Revaluation A/c Dr. To Asset A/c,Capital A/c Dr. To Asset A/c,Asset A/c Dr. To Capital A/c,Revaluation A/c Dr. To Asset A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"To record the increase in the value of a liability, the journal entry is:",Liability A/c Dr. To Revaluation A/c,Revaluation A/c Dr. To Liability A/c,Capital A/c Dr. To Liability A/c,Liability A/c Dr. To Capital A/c,Revaluation A/c Dr. To Liability A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),"If continuing partners bring cash to pay off the retiring partner, the entry for cash brought in is:",Cash A/c Dr. To Continuing Partners' Capital A/c,Cash A/c Dr. To Retiring Partner's Capital A/c,Continuing Partners' Capital A/c Dr. To Cash A/c,Revaluation A/c Dr. To Cash A/c,Cash A/c Dr. To Continuing Partners' Capital A/c
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),Final settlement amount of the retiring partner is shown in the new Balance Sheet as:,Capital Account,Revaluation Account,Loan Account (if unpaid),Profit & Loss Account,Loan Account (if unpaid)
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),The gaining ratio is essential specifically for the treatment of:,Revaluation Profit,General Reserve,Goodwill,Depreciation,Goodwill
BK,Chapter 4 : Reconstitution of Partnership (Retirement of Partner),A reconstituted firm's balance sheet (after admission or retirement) contains the assets and liabilities at their:,Original historical cost,Revalued figures,Depreciated values only,Estimated future values,Revalued figures
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),Death of a partner is considered as a compulsory ________ of the partner.,Admission,Retirement,Insolvency,Dissolution,Retirement
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),The business of the partnership firm may be continued after the death of a partner if:,The partnership deed provides for it,Surviving partners agree to continue,Both A and B,It cannot be continued at all,Both A and B
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),"On the death of a partner, the amount due to him is paid to his:",Surviving partners,Debtors,Legal Heir / Executor,Creditors,Legal Heir / Executor
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),The legal representative of the deceased partner is called:,Administrator,Executor,Receiver,Beneficiary,Executor
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),The ratio in which the continuing partners acquire the share of the deceased partner is called:,Sacrificing Ratio,New Ratio,Gaining Ratio,Capital Ratio,Gaining Ratio
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),Revaluation Account is prepared at the time of death of a partner to find out:,Profit or loss on sale of business,Profit or loss on revaluation of assets and liabilities,Amount payable to executor,Cash balance,Profit or loss on revaluation of assets and liabilities
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),Any profit or loss on Revaluation Account at the time of death is transferred to the Capital Accounts of:,Only surviving partners,Only deceased partner,All partners (including deceased partner),Executor's Account,All partners (including deceased partner)
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),The accumulated profits (like General Reserve) at the time of death are distributed among:,All partners in their Old Profit Sharing Ratio,Surviving partners in Gaining Ratio,Surviving partners in New Ratio,Deceased partner only,All partners in their Old Profit Sharing Ratio
BK,Chapter 5 : Reconstitution of Partnership (Death of Partner),Deceased partner's share of goodwill is written off (if decided) by debiting surviving partners' capital accounts in their:,Old Ratio,New Ratio,Gaining Ratio,Sacrificing Ratio,Gaining Ratio
