Subject,Chapter_Name,Category,Question_Text,Answer_or_Hint
,,,Purchases  | 98500 | ,
,,,Wages  | 3750 | ,
,,,Audit fees  | 4250 | ,
,,,Motive power  | 7500 | ,
,,,Investments  | 28000 | ,
,,,Bad debts  | 3200 | ,
,,,Loose tools  | 8500 | ,
,,,Carriage   | 3500 | ,
,,,Interest  | 2000 | ,
,,,Motor Van  | 44000 | ,
,,,Buildings  | 75000 | ,
,,,Debtors  | 48000 | ,
,,,Cash at Bank  | 22000 | ,
,,,Machinery  | 30000 | ,
,,,Drawing Account : Anand  | 6000 | ,
,,,Drawing Account : Pramod | 4000 | ,
,,,Capital Accounts : Anand  |  | 81000,
,,,Capital Accounts : Pramod |  | 54000,
,,,Current Accounts : Anand  | 0 | 8100,
,,,Current Accounts : Pramod | 0 | 5400,
,,,Sundry Creditors  | 0 | 49500,
,,,Sales  | 0 | 210000,
,,,Bank Overdraft |  | 28200,
,,,TOTAL | 436200 | 436200,
,,,Adjustments: ,
,,,"1. Stock on hand on 31st March, 2020, was valued at ₹. 38,000",
,,,2. Investment on partner’s capital @ 5% p.a. is allowed while interest on drawings in charged @ 3% p.a. ,
,,,"3. Motive power include ₹.1,750 paid a deposit for power meter.",
,,,"4. Depreciate Machinery @12.5%, Motor van @ 7.5% and Loose Tools @ 10%.",
,,,"5. Outstanding expenses were : Salary ₹.1,500, Audit fees ₹.1,750.",
,,,"6. Wages include ₹.1,250 as advance to workers.",
BK,Chapter 1 : Partnership Final Accounts,Extra_Practical,"Following is the Trial Balance of Gold and Silver as on 31st March, 2020 who share Profits and Losses in the ration of 3 : 2.",
,,,"Trial Balance as on 31st March, 2020.",
,,,Particulars | Debit ₹ | Credit ₹,
,,,Goodwill   | 10000 | ,
,,,Plant and Machinery  | 40000 | ,
,,,Patents   | 5000 | ,
,,,Carriage  | 4300 | ,
,,,Postage and Telegram  | 700 | ,
,,,Power and Fuel  | 3000 | ,
,,,Debtors  | 12000 | ,
,,,Trade Expenses  | 300 | ,
,,,Advertisement  | 1500 | ,
,,,Furniture   | 7100 | ,
,,,Wages  | 14000 | ,
,,,Purchases  | 29500 | ,
,,,Stock   | 10400 | ,
,,,Printing and Stationery  | 2600 | ,
,,,Interest on Bank Loan  | 1500 | ,
,,,Land and Building   | 53300 | ,
,,,Discount  | 400 | ,
,,,Cash in Hand | 500 | ,
,,,15% Bank Loan (Taken on 1-10-2020)  |  | 30000,
,,,Capital A/cs: Gold |  | 40000,
,,,Capital A/cs: Silver | 0 | 30000,
,,,Creditors  | 0 | 20500,
,,,Commission  | 0 | 400,
,,,Sales  | 0 | 75200,
,,,TOTAL | 196100 | 196100,
,,,Advertisements:,
,,,"1. Closing stock on 31st March, 2020 was valued at ₹.12,000.",
,,,2. Depreciate Plant and Machinery at 10% and Furniture by ₹. 400.,
,,,"3. Outstanding Wages ₹. 1,000.",
,,,4. Goods taken by Girish for his personal use ₹. 500. No entry has been passed in the books.,
,,,5. Goods of ₹. 1000 distributed as free samples.,
BK,Chapter 1 : Partnership Final Accounts,IMP_Proforma,"Trading Account
For the year ended 31st March, 20…",
,,,Particulars | Amount ₹ | Amount ₹ | Particulars | Amount ₹ | Amount ₹,
,,,To Opening stock  | 0 | XXX  | By Sales  | XXX  | 0,
,,,To Purchases  | XXX  |   | Less: Sales Returns/Returns Inwards | (XXX) | XXX ,
,,,Less: Purchase Returns/ Returns Outwards | (XXX) | XXX  | By Goods Distributed as Free Samples | 0 | XXX ,
,,,To Wages/Productive Wages/Manufacturing Wages/Wages and Salaries | 0 | XXX  | By Goods destroyed by Fire | 0 | XXX ,
,,,To Works Manager’s Salary  | 0 | XXX  | By Goods withdrawn by Partners for personal Use | 0 | XXX ,
,,,To Carriage/Carriages Inwards/ Carriage on  Purchases | 0 | XXX  | By Goods lost by theft  | 0 | XXX ,
,,,To Factory Insurance/Rent/Lighting | 0 | XXX  | By Closing Sock  | 0 | XXX ,
,,,To factory Salaries  | 0 | XXX  | By Gross Loss c/d | 0 | XXX ,
,,,To Import Duty  | 0 | XXX  |  | 0 | 0,
,,,To Freight  | 0 | XXX  |  | 0 | 0,
,,,To Octroi  and Cartage  | 0 | XXX  |  | 0 | 0,
,,,"To Customs, dock dues (charges)  | 0 | XXX  |  | 0 | 0",
,,,"To Gas, Coal, Water, Fuel and Power/Motive Power | 0 | XXX  |  | 0 | 0",
,,,To Royalty/ Royalty on purchases | 0 | XXX  |  | 0 | 0,
,,,To Manufacturing Expenses  | 0 | XXX  |  | 0 | 0,
,,,To Trade Expenses  | 0 | XXX  |  | 0 | 0,
,,,To Heating and Lighting  | 0 | XXX  |  | 0 | 0,
,,,To Gross Profit C/d | 0 | XXX  |  | 0 | 0,
,,, | 0 | XXX |  | 0 | XXX,
,,,Note: The closing balance of the Trading Account can be either Credit Balance i.e. Gross Profit or Debit Balance i.e. Gross Loss. This balance is transferred to Profit and Loss Account.,
BK,Chapter 1 : Partnership Final Accounts,IMP_Proforma,"Profit and Loss Account
For the year ended 31st March, ….",
,,,Particulars | Amount ₹ | Amount ₹ | Particulars | Amount ₹ | Amount ₹,
,,,To Gross Loss b/d   | 0 | XXX  | BY Gross Profit b/d  | 0 | XXX,
,,,(Transferred from Trading Account) | 0 | 0 | (Transferred from Trading Account) | 0 | 0,
,,,To Salaries / Salaries and Wages  | 0 | XXX  | By Commission Received  | 0 | XXX ,
,,,To unproductive or Non Productive Wages | 0 | XXX | By Discount Received   | 0 | XXX ,
,,,To Office Expenses  | 0 | XXX  | By Interest Received  | 0 | XXX ,
,,,To Rent/Off ice Rent & Rates /Taxes  | 0 | XXX  | By Income from other sources | 0 | XXX ,
,,,To Electricity Charges  | 0 | XXX  | By Bad Debts recovered  | 0 | XXX ,
,,,To Insurance  | 0 | XXX  | By Provisions for Discount or  Creditors | 0 | XXX ,
,,,To Postage and Telegram  | 0 | XXX  | By Dividends Received  | 0 | XXX ,
,,,To Telephone and Fax Charges | 0 | XXX  | By Miscellaneous/Sundry Income | 0 | XXX ,
,,,To Courier Charges  | 0 | XXX  | By Rent Received  | 0 | XXX ,
,,,To Printing and Stationery  | 0 | XXX  | By Profit on Sale of Assets  | 0 | XXX ,
,,,To Legal Expenses/Law Charges  | 0 | XXX  | By Interest on Partners’ Drawing  | 0 | XXX ,
,,,To Trade  Expenses   | 0 | XXX  | By R.B.D.D. A/c  | 0 | 0,
,,,To Repairs and Renewals  | 0 | XXX  | Old Reserves | XXX  | 0,
,,,To Audit Fees   | 0 | XXX  | Less: Bad Debts | (XXX) | 0,
,,,To Sundry/General/Miscellaneous Expenses | 0 | XXX  | Less: New Bad Debts  | (XXX) | 0,
,,,To Provident Fund Contribution  | 0 | XXX  | Less: New Reserve | (XXX) | XXX,
,,,To Travelling/Expenses/Conveyance | 0 | XXX  | By Net Loss c/d  | 0 | XXX,
,,,To commission and Allowance (paid) | 0 | XXX  | (Transferred to Capital / Current A/cs) | 0 | 0,
,,,To Brokerage  | 0 | XXX  |  | 0 | 0,
,,,To Carriage Outwards/Carriage on sales | 0 | XXX  |  | 0 | 0,
,,,To Storage/Warehouses or Godown Charges | 0 | XXX  |  | 0 | 0,
,,,To Packing Expenses/Charges  | 0 | XXX  |  | 0 | 0,
,,,To Advertisement Expenses   | 0 | XXX  |  | 0 | 0,
,,,To Goods distributed as Free Samples | 0 | XXX  |  | 0 | 0,
,,,To Delivery Van Charges  | 0 | XXX  |  | 0 | 0,
,,,To Export Duties  | 0 | XXX  |  | 0 | 0,
,,,To Bad Debts written off  | XXX  | 0 |  | 0 | 0,
,,,To R.B.D.D. A/c  | XXX  | 0 |  | 0 | 0,
,,,Bad Debts  | XXX  | 0 |  | 0 | 0,
,,,Add: New Bad debts  | XXX  | 0 |  | 0 | 0,
,,,Add: New Reserve /R.D.D | XXX  | 0 |  | 0 | 0,
,,,  | XXX  | 0 |  | 0 | 0,
,,,Less: Old Reserve /R.D.D  | (XX) | XXX  |  | 0 | 0,
,,,To Bank Charges  | 0 | XXX  |  | 0 | 0,
,,,To Entertainment Charges  | 0 | XXX  |  | 0 | 0,
,,,To Interest Paid  | 0 | XXX  |  | 0 | 0,
,,,To Discount on Bills  | 0 | XXX  |  | 0 | 0,
,,,To Provision for Discount on Debtors | 0 | XXX  |  | 0 | 0,
,,,To Sales Tax  | 0 | XXX  |  | 0 | 0,
,,,To Depreciation   | 0 | XXX  |  | 0 | 0,
,,,To Loss by Fire/Theft  | 0 | XXX  |  | 0 | 0,
,,,To Loss on Sale of Fixed Assets  | 0 | XXX  |  | 0 | 0,
,,,To Loss on Sale of Investment  | 0 | XXX  |  | 0 | 0,
,,,To Donation and Charity  | 0 | XXX  |  | 0 | 0,
,,,To Professional Charges  | 0 | XXX  |  | 0 | 0,
,,,To General Reserve (Transfer)  | 0 | XXX  |  | 0 | 0,
,,,To Interest on Partners capital  | 0 | XXX  |  | 0 | 0,
,,,To Salaries / Commission / Allowance to Partners | 0 | XXX  |  | 0 | 0,
,,,To Interest on loans from partners | 0 | XXX  |  | 0 | 0,
,,,To Net Profit c/d  | 0 | XXX  |  | 0 | 0,
,,, (Transferred to Capital/Current A/cs) | 0 | 0 |  | 0 | 0,
,,, | 0 | XXX  |  | 0 | XXX ,
,,,Note: The closing balance of the Profit and Loss Account can be either Credit Balance i.e. Net Divisible Profit or Debit Balance i.e. Net Adjustable Loss.,
BK,Chapter 1 : Partnership Final Accounts,IMP_Proforma," Balance Sheet
As on 31st March, ..... .....  ",
,,,Liabilities | Amount ₹ | Amount ₹ | Assets | Amount ₹ | Amount ₹,
,,,Partners’ Capital A/cs:  | 0 | 0 | Goodwill  | 0 | XXX ,
,,,X  | XXX  | 0 | Patents & Patters  | 0 | XXX ,
,,,Y | XXX  | XXX  | Trade Marks  | 0 | XXX ,
,,,Partner’s Current A/cs:  |   |   | Copy rights  | 0 | XXX ,
,,,X | XXX  |   | Freehold Property  | 0 | XXX ,
,,,Y | XXX  | XXX  | Leasehold Property  | 0 | XXX ,
,,,General Reserve/Reserve Fund  | 0 | XXX  | Premises  | 0 | XXX ,
,,,Provident Fund  | 0 | XXX  | Land and Buildings  | 0 | XXX ,
,,,Loan from Bank  | 0 | XXX  | Plant and Machinery  | 0 | XXX ,
,,,Bank Overdraft  | 0 | XXX  | Delivery Van/Motor Vehicles | 0 | XXX ,
,,,Sundry Creditors  | 0 | XXX  | Furniture and Fixtures  | 0 | XXX ,
,,,Bills payable   | 0 | XXX  | Office Equipments  | 0 | XXX ,
,,,Outstanding expenses  | 0 | XXX  | Loose Tools   | 0 | XXX ,
,,,Income received in Advance  | 0 | XXX  | Investments  | 0 | XXX ,
,,, | 0 | 0 | Provident Fund  | 0 | XXX ,
,,, | 0 | 0 | Investment  | 0 | XXX ,
,,, | 0 | 0 | Interest Accrued on investment | 0 | XXX ,
,,, | 0 | 0 | Loans (given)  | 0 | XXX ,
,,, | 0 | 0 | Sundry Debtors  | 0 | XXX ,
,,, | 0 | 0 | Stock of Stationery  | 0 | XXX ,
,,, | 0 | 0 | Stock of Postal Stamps  | 0 | XXX ,
,,, | 0 | 0 | Closing Stock  | 0 | XXX ,
,,, | 0 | 0 | Bills Receivable   | 0 | XXX ,
,,, | 0 | 0 | Insurance claim  | 0 | XXX ,
,,, | 0 | 0 | Receivable  | 0 | XXX ,
,,, | 0 | 0 | Cash in  Hand  | 0 | XXX ,
,,, | 0 | 0 | Cash at Bank  | 0 | XXX ,
,,, | 0 | 0 | Prepaid expenses  | 0 | XXX ,
,,, | 0 | 0 | Income Receivables  | 0 | XXX ,
,,, | 0 | 0 | Partners’ Current Account  | 0 | XXX ,
,,, | 0 | 0 | (Debit balance)  | 0 | 0,
,,, | 0 | XXX  |  | 0 | XXX ,
,,,Notes: ,
,,,(1) Every item in the Trial Balance must be shown only once and in just one part of the final accounts. ,
,,,(2) Every item of adjustment or item outside the Trial Balance must be shown twice in the final accounts. ,
,,,(3) The assets and liabilities including the partners’ capital should be shown in the Balance Sheet. ,
BK,Chapter 1 : Partnership Final Accounts,IMP_Proforma,Partners’ Capital Account prepared under Fluctuating Capital Method,
,,,Particulars | P1 Amount ₹ | P2 Amount ₹ | Particulars | P1 Amount ₹ | P2 Amount ₹,
,,,To Cash/Bank A/c  | XXX  | XXX  | By Balance b/d  | XXX | XXX,
,,,(Withdrawal of Capital) |   |   | (Opening Credit Balance) | 0 | 0,
,,,To Drawings A/c  | XXX  | XXX  | By Cash/Bank A/c  | XXX | XXX,
,,,To Interest on Drawings A/c  | XXX  | XXX  | (Fresh Capital Introduced) | 0 | 0,
,,,To Profit and Loss A/c  | XXX  | XXX  | By Fixed Assets A/c  | XXX | XXX,
,,,(Adjustment of Loss) |   |   | By Interest on Capital A/c  | XXX | XXX,
,,,To Balance c/d | XXX  | XXX  | By Partner’s Salalry A/c  | XXX | XXX,
,,, | 0 | 0 | By Partner’s Commission A/c | XXX | XXX,
,,, | 0 | 0 | By Profit and Loss A/c   | XXX | XXX,
,,, | 0 | 0 | (Share of Profit) | 0 | 0,
,,, | XXX  | XXX  |  | XXX  | XXX ,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is fluctuating capital?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why is Partnership Deed necessary?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"If the Partnership Deed is silent, in which ratio the partners will share the profit or loss?",
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is the Fixed Capital Method?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,How many partners are required to form a Partnership Firm?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is Partnership Deed?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What are the objectives of the Partnership firm?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What rate of interest is allowed on partner's loan in the absence of an agreement?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"What is the minimum number of Partners in a Partnership firm according to Indian Partneship Act, 1932.",
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is liability of a partner?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,In the absence of Partnership Deed what is the rate of interest on loan advanced by partner to the firm is allowed?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What do you mean by pre-received income?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is the effect of the adjustment of provision for discount on debtors in the final accounts of partnership?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,When is partners Current Account opened ?  ,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,As per which principle of accounting closing stock is valued at cost price or at market price which ever is less?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What is the provision of Indian Partnership Act with regard to Interest on capital ?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why is Balance Sheet prepared?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why wages paid for installation of Machinery are not shown in Trading Account?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,What do you mean by indirect incomes?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,Why partners capital is treated as long term liability of business?,
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Undervaluation of Closing Stock  by 10%. Closing Stock was ` 30,000 find out the value of Closing Stock ",
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Calculate 12.5% P. A.depreciation on Furniture 
a) on ` 220,000 for 1 year
b) on ` 10,000 for 6 months",
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Insurance Premium is paid for the year ending 1st September 2019 Amounted to ` 1,500. Calculate prepaid insurance assuming that the year ending is 31st March 2019.",
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Find out Gross profit / Gross Loss Purchases ` 30,000, Sales ` 15,000, Carriage Inward ` 2,400, Opening Stock ` 10,000, Purchase Returns `1,000, Closing Stock ` 36,000. ",
BK,Chapter 1 : Partnership Final Accounts,One_Sentence,"Borrowed Loan from Bank of Maharashtra ` 2,00,000 on 1st October 2019 at rate of 15% p.a. Calculate Interest on Bank Loan for the year 2019-20 assuming that the financial year ends on 31st March, every year",
